# FILE	ENCLOSING	KIND	NTH	STATUS	NOTE
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--aot-direct-tag-predicate-form	tag-const-ref	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--aot-direct-tag-predicate-form	tag-const-ref	1	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--collect-strings	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-sexp-name-eq	tag-const-ref	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-sexp-name-eq-arm64	tag-const-ref	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-stmt	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	1	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	2	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	3	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-aot-funcall3	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-value	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-value	unresolved-numeric	1	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-value	unresolved-numeric	2	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--preprocess-defun-sexp-builtin1-symbol	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--wasm-collect-handler-local-ids	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--wasm-emit-value	unresolved-numeric	0	pending	-
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--wasm-register-ir-imports	unresolved-numeric	0	pending	-
lisp/nelisp-artifact.el	nelisp-artifact--native-driver-c	unparsed-region	0	pending	-
lisp/nelisp-cc-env-set-value.el	nelisp_env_set_value_name_ok	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-evalport-combiner-apply.el	nl_apply_builtin	tag-test-bound-sym	0	pending	-
lisp/nelisp-cc-evalport-nonenv-mut-str-set-cp.el	nl_mut_str_set_codepoint_raw	tag-test-runtime-read-u8	0	pending	-
lisp/nelisp-cc-frame-stack-find.el	nelisp_frame_stack_find_valid_key	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-alias.el	nl_jit_alias	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-downcase.el	nl_jit_downcase	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-downcase.el	nl_jit_downcase	tag-test-sexp-tag	1	pending	-
lisp/nelisp-cc-jit-length.el	nelisp_jit_length	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-make-symbol.el	nl_jit_make_symbol	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-mut-str-set-codepoint.el	nl_jit_mut_str_set_codepoint	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-regex.el	nl_smp_is_str_tag	unresolved-numeric	0	pending	-
lisp/nelisp-cc-jit-regex.el	nl_smp_is_str_tag	unresolved-numeric	1	pending	-
lisp/nelisp-cc-jit-regex.el	nl_smp_str_len	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-regex.el	nl_smp_str_len	tag-test-sexp-tag	1	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	1	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	2	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	3	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	4	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	5	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	6	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	7	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	8	pending	-
lisp/nelisp-cc-jit-secure-hash-ext.el	nl_jit_secure_hash_non_sha1_ext	tag-test-sexp-tag	9	pending	-
lisp/nelisp-cc-jit-secure-hash.el	nl_jit_secure_hash	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-secure-hash.el	nl_jit_secure_hash	tag-test-sexp-tag	1	pending	-
lisp/nelisp-cc-jit-split-by-non-alnum.el	nl_jit_split_by_non_alnum	tag-test-sexp-tag	0	pending	-
lisp/nelisp-cc-jit-split-by-non-alnum.el	nl_jit_split_by_non_alnum	tag-test-sexp-tag	1	pending	-
lisp/nelisp-cc-jit-str-codepoint-at.el	nl_jit_str_codepoint_at	tag-test-sexp-tag	0	pending	-
